second,Volt,Volt2
-500.003E-06,+3.022500023E+00,+269.984379E-03
-499.002E-06,+3.022500023E+00,+276.234411E-03
-498.002E-06,+3.177114074E+00,+276.250004E-03
-497.002E-06,+3.177500024E+00,+276.250004E-03
-496.002E-06,+3.177500024E+00,+276.250004E-03
-495.002E-06,+3.022883648E+00,+276.250004E-03
-494.002E-06,+3.022500023E+00,+276.250004E-03
-493.002E-06,+3.022500023E+00,+270.015410E-03
-492.002E-06,+3.022500023E+00,+270.000004E-03
-491.002E-06,+3.177119499E+00,+276.234661E-03
-490.002E-06,+3.177500024E+00,+276.250004E-03
-489.002E-06,+2.868257972E+00,+276.250004E-03
-488.002E-06,+3.022121823E+00,+276.250004E-03
-487.002E-06,+3.022500023E+00,+276.250004E-03
-486.002E-06,+3.022500023E+00,+276.250004E-03
-485.002E-06,+3.177124149E+00,+270.015160E-03
-484.002E-06,+3.022875123E+00,+276.234879E-03
-483.002E-06,+3.177125699E+00,+270.015098E-03
-482.002E-06,+3.177500024E+00,+276.234942E-03
-481.002E-06,+3.022872798E+00,+276.250004E-03
-480.002E-06,+3.022500023E+00,+276.250004E-03
-479.002E-06,+3.022500023E+00,+270.014973E-03
-478.002E-06,+3.022500023E+00,+270.000004E-03
-477.002E-06,+3.022500023E+00,+276.235098E-03
-476.002E-06,+3.022500023E+00,+276.250004E-03
-475.002E-06,+3.022500023E+00,+270.014848E-03
-474.002E-06,+3.022500023E+00,+276.235192E-03
-473.002E-06,+3.177133449E+00,+276.250004E-03
-472.002E-06,+3.022865823E+00,+270.014754E-03
-471.002E-06,+3.022500023E+00,+270.000004E-03
-470.002E-06,+3.022500023E+00,+276.235317E-03
-469.002E-06,+2.867863497E+00,+276.250004E-03
-468.002E-06,+3.022137323E+00,+276.250004E-03
-467.002E-06,+3.022500023E+00,+276.250004E-03
-466.002E-06,+3.022500023E+00,+270.014567E-03
-465.002E-06,+2.867860397E+00,+270.000004E-03
-464.002E-06,+2.867500022E+00,+270.000004E-03
-463.002E-06,+3.022141198E+00,+270.000004E-03
-462.002E-06,+2.867858072E+00,+270.000004E-03
-461.002E-06,+3.022142748E+00,+276.235598E-03
-460.002E-06,+3.022500023E+00,+270.014379E-03
-459.002E-06,+3.022500023E+00,+270.000004E-03
-458.002E-06,+3.022500023E+00,+276.235692E-03
-457.002E-06,+3.022500023E+00,+276.250004E-03
-456.002E-06,+3.022500023E+00,+276.250004E-03
-455.002E-06,+3.022500023E+00,+270.014223E-03
-454.002E-06,+3.022500023E+00,+276.235817E-03
-453.002E-06,+3.022500023E+00,+276.250004E-03
-452.002E-06,+3.022500023E+00,+276.250004E-03
-451.002E-06,+3.022500023E+00,+276.250004E-03
-450.002E-06,+2.867848772E+00,+270.014067E-03
-449.002E-06,+3.022152048E+00,+276.235973E-03
-448.002E-06,+3.022500023E+00,+270.014004E-03
-447.002E-06,+2.867846447E+00,+276.236036E-03
-446.002E-06,+2.867500022E+00,+276.250004E-03
-445.002E-06,+3.022155148E+00,+270.013910E-03
-444.002E-06,+3.022500023E+00,+276.236129E-03
-443.002E-06,+3.022500023E+00,+282.486161E-03
-442.002E-06,+3.022500023E+00,+276.263817E-03
-441.002E-06,+3.022500023E+00,+282.486223E-03
-440.002E-06,+3.022500023E+00,+270.027504E-03
-439.002E-06,+2.867840247E+00,+276.236286E-03
-438.002E-06,+3.022160573E+00,+270.013692E-03
-437.002E-06,+3.022500023E+00,+276.236348E-03
-436.002E-06,+3.177162124E+00,+270.013629E-03
-435.002E-06,+3.022837148E+00,+263.763598E-03
-434.002E-06,+2.867836372E+00,+269.986442E-03
-433.002E-06,+2.867500022E+00,+270.000004E-03
-432.002E-06,+2.867500022E+00,+270.000004E-03
-431.002E-06,+3.022165998E+00,+270.000004E-03
-430.002E-06,+3.022500023E+00,+270.000004E-03
-429.002E-06,+2.867832497E+00,+270.000004E-03
-428.002E-06,+3.022168323E+00,+270.000004E-03
-427.002E-06,+3.022500023E+00,+276.236661E-03
-426.002E-06,+2.867830172E+00,+276.250004E-03
-425.002E-06,+3.022170648E+00,+270.013285E-03
-424.002E-06,+3.022500023E+00,+270.000004E-03
-423.002E-06,+3.022500023E+00,+270.000004E-03
-422.002E-06,+2.867827072E+00,+270.000004E-03
-421.002E-06,+3.022173748E+00,+276.236848E-03
-420.002E-06,+2.867825522E+00,+270.013129E-03
-419.002E-06,+3.022175298E+00,+270.000004E-03
-418.002E-06,+3.022500023E+00,+270.000004E-03
-417.002E-06,+2.867823197E+00,+276.236973E-03
-416.002E-06,+2.867500022E+00,+276.250004E-03
-415.002E-06,+2.867500022E+00,+276.250004E-03
-414.002E-06,+3.022179173E+00,+263.775879E-03
-413.002E-06,+2.867820097E+00,+269.987098E-03
-412.002E-06,+3.022180723E+00,+276.237129E-03
-411.002E-06,+2.867818547E+00,+276.250004E-03
-410.002E-06,+2.867500022E+00,+270.012817E-03
-409.002E-06,+2.867500022E+00,+270.000004E-03
-408.002E-06,+3.022183823E+00,+270.000004E-03
-407.002E-06,+3.022500023E+00,+276.237286E-03
-406.002E-06,+2.867814672E+00,+276.250004E-03
-405.002E-06,+3.022186148E+00,+270.012660E-03
-404.002E-06,+2.867813122E+00,+276.237379E-03
-403.002E-06,+2.867500022E+00,+270.012598E-03
-402.002E-06,+2.867500022E+00,+270.000004E-03
-401.002E-06,+2.867500022E+00,+270.000004E-03
-400.002E-06,+3.022190023E+00,+270.000004E-03
-399.002E-06,+2.867809247E+00,+270.000004E-03
-398.002E-06,+2.712808471E+00,+270.000004E-03
-397.002E-06,+2.712500021E+00,+270.000004E-03
-396.002E-06,+2.867193122E+00,+276.237629E-03
-395.002E-06,+3.022193898E+00,+276.250004E-03
-394.002E-06,+2.867805372E+00,+270.012317E-03
-393.002E-06,+3.022195448E+00,+270.000004E-03
-392.002E-06,+2.867803822E+00,+270.000004E-03
-391.002E-06,+2.867500022E+00,+270.000004E-03
-390.002E-06,+2.867500022E+00,+270.000004E-03
-389.002E-06,+2.867500022E+00,+263.762160E-03
-388.002E-06,+2.867500022E+00,+276.225754E-03
-387.002E-06,+2.867500022E+00,+270.012098E-03
-386.002E-06,+2.867500022E+00,+270.000004E-03
-385.002E-06,+2.867500022E+00,+270.000004E-03
-384.002E-06,+2.867500022E+00,+270.000004E-03
-383.002E-06,+2.867500022E+00,+270.000004E-03
-382.002E-06,+2.867500022E+00,+270.000004E-03
-381.002E-06,+2.867500022E+00,+270.000004E-03
-380.002E-06,+2.712794521E+00,+270.000004E-03
-379.002E-06,+2.712500021E+00,+270.000004E-03
-378.002E-06,+2.867207072E+00,+276.238192E-03
-377.002E-06,+2.867500022E+00,+276.250004E-03
-376.002E-06,+2.712791421E+00,+270.011754E-03
-375.002E-06,+2.867209397E+00,+270.000004E-03
-374.002E-06,+2.867500022E+00,+263.761692E-03
-373.002E-06,+2.867500022E+00,+269.988348E-03
-372.002E-06,+2.712788321E+00,+270.000004E-03
-371.002E-06,+2.867212497E+00,+270.000004E-03
-370.002E-06,+2.867500022E+00,+270.000004E-03
-369.002E-06,+3.022214048E+00,+270.000004E-03
-368.002E-06,+3.022500023E+00,+270.000004E-03
-367.002E-06,+2.867784447E+00,+276.238536E-03
-366.002E-06,+2.867500022E+00,+263.772879E-03
-365.002E-06,+2.712782896E+00,+276.227192E-03
-364.002E-06,+2.867217922E+00,+270.011379E-03
-363.002E-06,+2.867500022E+00,+270.000004E-03
-362.002E-06,+2.712780571E+00,+263.761317E-03
-361.002E-06,+2.867220247E+00,+269.988723E-03
-360.002E-06,+2.867500022E+00,+270.000004E-03
-359.002E-06,+2.712778246E+00,+270.000004E-03
-358.002E-06,+2.867222572E+00,+270.000004E-03
-357.002E-06,+3.022223348E+00,+270.000004E-03
-356.002E-06,+2.867775922E+00,+270.000004E-03
-355.002E-06,+2.867500022E+00,+270.000004E-03
-354.002E-06,+2.867500022E+00,+270.000004E-03
-353.002E-06,+2.867500022E+00,+270.000004E-03
-352.002E-06,+2.867500022E+00,+270.000004E-03
-351.002E-06,+2.867500022E+00,+263.760973E-03
-350.002E-06,+2.867500022E+00,+269.989067E-03
-349.002E-06,+2.867500022E+00,+270.000004E-03
-348.002E-06,+2.867500022E+00,+270.000004E-03
-347.002E-06,+2.867500022E+00,+270.000004E-03
-346.002E-06,+2.867500022E+00,+270.000004E-03
-345.002E-06,+2.867500022E+00,+270.000004E-03
-344.002E-06,+2.712766621E+00,+270.000004E-03
-343.002E-06,+2.867234197E+00,+270.000004E-03
-342.002E-06,+2.712765071E+00,+270.000004E-03
-341.002E-06,+2.867235747E+00,+270.000004E-03
-340.002E-06,+2.867500022E+00,+270.000004E-03
-339.002E-06,+2.712762746E+00,+270.000004E-03
-338.002E-06,+2.712500021E+00,+263.760567E-03
-337.002E-06,+2.867238847E+00,+269.989473E-03
-336.002E-06,+2.867500022E+00,+263.760504E-03
-335.002E-06,+2.867500022E+00,+276.229067E-03
-334.002E-06,+2.712758871E+00,+263.770879E-03
-333.002E-06,+2.867241947E+00,+269.989598E-03
-332.002E-06,+2.712757321E+00,+263.760379E-03
-331.002E-06,+2.712500021E+00,+269.989660E-03
-330.002E-06,+2.712500021E+00,+270.000004E-03
-329.002E-06,+2.867245047E+00,+270.000004E-03
-328.002E-06,+2.712754221E+00,+270.000004E-03
-327.002E-06,+2.867246597E+00,+263.760223E-03
-326.002E-06,+2.712752671E+00,+269.989817E-03
-325.002E-06,+2.712500021E+00,+270.000004E-03
-324.002E-06,+2.867248922E+00,+270.000004E-03
-323.002E-06,+2.867500022E+00,+270.000004E-03
-322.002E-06,+2.557999120E+00,+270.000004E-03
-321.002E-06,+2.712251246E+00,+263.760035E-03
-320.002E-06,+2.712500021E+00,+269.990004E-03
-319.002E-06,+2.867252797E+00,+270.000004E-03
-318.002E-06,+2.867500022E+00,+263.759942E-03
-317.002E-06,+2.867500022E+00,+263.750004E-03
-316.002E-06,+2.867500022E+00,+263.750004E-03
-315.002E-06,+2.712744146E+00,+269.990160E-03
-314.002E-06,+2.712500021E+00,+270.000004E-03
-313.002E-06,+2.712500021E+00,+270.000004E-03
-312.002E-06,+2.712500021E+00,+270.000004E-03
-311.002E-06,+2.867258997E+00,+263.759723E-03
-310.002E-06,+2.867500022E+00,+269.990317E-03
-309.002E-06,+2.867500022E+00,+270.000004E-03
-308.002E-06,+2.867500022E+00,+270.000004E-03
-307.002E-06,+2.867500022E+00,+276.240411E-03
-306.002E-06,+2.867500022E+00,+263.769129E-03
-305.002E-06,+2.867500022E+00,+269.990473E-03
-304.002E-06,+2.712735621E+00,+263.759504E-03
-303.002E-06,+2.712500021E+00,+269.990535E-03
-302.002E-06,+2.867265972E+00,+263.759442E-03
-301.002E-06,+2.867500022E+00,+269.990598E-03
-300.001E-06,+2.867500022E+00,+263.759379E-03
-299.001E-06,+2.712731746E+00,+269.990660E-03
-298.001E-06,+2.712500021E+00,+270.000004E-03
-297.001E-06,+2.712500021E+00,+263.759285E-03
-296.001E-06,+2.867270622E+00,+269.990754E-03
-295.001E-06,+2.557957270E+00,+270.000004E-03
-294.001E-06,+2.712272171E+00,+263.759192E-03
-293.001E-06,+2.867272947E+00,+263.750004E-03
-292.001E-06,+2.712726321E+00,+263.750004E-03
-291.001E-06,+2.712500021E+00,+263.750004E-03
-290.001E-06,+2.712500021E+00,+263.750004E-03
-289.001E-06,+2.712500021E+00,+263.750004E-03
-288.001E-06,+2.712500021E+00,+263.750004E-03
-287.001E-06,+2.712500021E+00,+263.750004E-03
-286.001E-06,+2.712500021E+00,+269.991067E-03
-285.001E-06,+2.712500021E+00,+263.758910E-03
-284.001E-06,+2.712500021E+00,+263.750004E-03
-283.001E-06,+2.712500021E+00,+269.991160E-03
-282.001E-06,+2.712500021E+00,+270.000004E-03
-281.001E-06,+2.712500021E+00,+270.000004E-03
-280.001E-06,+2.867283022E+00,+263.758754E-03
-279.001E-06,+2.557932470E+00,+269.991285E-03
-278.001E-06,+2.712284571E+00,+270.000004E-03
-277.001E-06,+2.867285347E+00,+270.000004E-03
-276.001E-06,+2.712713921E+00,+270.000004E-03
-275.001E-06,+2.867286897E+00,+270.000004E-03
-274.001E-06,+2.557924720E+00,+263.758567E-03
-273.001E-06,+2.712288446E+00,+269.991473E-03
-272.001E-06,+2.557710820E+00,+263.758504E-03
-271.001E-06,+2.867079972E+00,+269.991535E-03
-270.001E-06,+2.557918520E+00,+270.000004E-03
-269.001E-06,+2.712291546E+00,+270.000004E-03
-268.001E-06,+2.867292322E+00,+263.758379E-03
-267.001E-06,+2.712706946E+00,+263.750004E-03
-266.001E-06,+2.712500021E+00,+263.750004E-03
-265.001E-06,+2.712500021E+00,+263.750004E-03
-264.001E-06,+2.867295422E+00,+269.991754E-03
-263.001E-06,+2.712703846E+00,+263.758223E-03
-262.001E-06,+2.712500021E+00,+269.991817E-03
-261.001E-06,+2.712500021E+00,+270.000004E-03
-260.001E-06,+2.712500021E+00,+270.000004E-03
-259.001E-06,+2.712500021E+00,+263.758098E-03
-258.001E-06,+2.712500021E+00,+269.991942E-03
-257.001E-06,+2.557699195E+00,+263.758035E-03
-256.001E-06,+2.712301621E+00,+269.992004E-03
-255.001E-06,+2.712500021E+00,+263.757973E-03
-254.001E-06,+2.712500021E+00,+263.750004E-03
-253.001E-06,+2.712500021E+00,+269.992098E-03
-252.001E-06,+2.712500021E+00,+270.000004E-03
-251.001E-06,+2.712500021E+00,+263.757848E-03
-250.001E-06,+2.557693770E+00,+269.992192E-03
-249.001E-06,+2.712307046E+00,+257.515567E-03
-248.001E-06,+2.557692220E+00,+263.742254E-03
-247.001E-06,+2.557500020E+00,+269.992285E-03
-246.001E-06,+2.712309371E+00,+263.757692E-03
-245.001E-06,+2.712500021E+00,+263.750004E-03
-244.001E-06,+2.712500021E+00,+263.750004E-03
-243.001E-06,+2.712500021E+00,+269.992410E-03
-242.001E-06,+2.712500021E+00,+263.757567E-03
-241.001E-06,+2.712500021E+00,+263.750004E-03
-240.001E-06,+2.712500021E+00,+263.750004E-03
-239.001E-06,+2.712500021E+00,+269.992535E-03
-238.001E-06,+2.712500021E+00,+263.757442E-03
-237.001E-06,+2.712500021E+00,+257.507410E-03
-236.001E-06,+2.712500021E+00,+263.742629E-03
-235.001E-06,+2.712500021E+00,+257.507348E-03
-234.001E-06,+2.712500021E+00,+263.742692E-03
-233.001E-06,+2.557680595E+00,+263.750004E-03
-232.001E-06,+2.557500020E+00,+263.750004E-03
-231.001E-06,+2.712320996E+00,+263.750004E-03
-230.001E-06,+2.557678270E+00,+263.750004E-03
-229.001E-06,+2.712322546E+00,+263.750004E-03
-228.001E-06,+2.712500021E+00,+263.750004E-03
-227.001E-06,+2.712500021E+00,+263.750004E-03
-226.001E-06,+2.712500021E+00,+263.750004E-03
-225.001E-06,+2.712500021E+00,+257.507035E-03
-224.001E-06,+2.712500021E+00,+263.743004E-03
-223.001E-06,+2.557672845E+00,+263.750004E-03
-222.001E-06,+2.557500020E+00,+263.750004E-03
-221.001E-06,+2.712328746E+00,+263.750004E-03
-220.001E-06,+2.557670520E+00,+257.506879E-03
-219.001E-06,+2.557500020E+00,+263.743160E-03
-218.001E-06,+2.712331071E+00,+263.750004E-03
-217.001E-06,+2.557668195E+00,+263.750004E-03
-216.001E-06,+2.712332621E+00,+263.750004E-03
-215.001E-06,+2.557666645E+00,+263.750004E-03
-214.001E-06,+2.557500020E+00,+263.750004E-03
-213.001E-06,+2.712334946E+00,+263.750004E-03
-212.001E-06,+2.557664320E+00,+263.750004E-03
-211.001E-06,+2.712336496E+00,+263.750004E-03
-210.001E-06,+2.712500021E+00,+263.750004E-03
-209.001E-06,+2.557661995E+00,+257.506535E-03
-208.001E-06,+2.712338821E+00,+263.743504E-03
-207.001E-06,+2.557660445E+00,+263.750004E-03
-206.001E-06,+2.557500020E+00,+263.750004E-03
-205.001E-06,+2.712341146E+00,+263.750004E-03
-204.001E-06,+2.867341922E+00,+257.506379E-03
-203.001E-06,+2.557814670E+00,+263.743660E-03
-202.001E-06,+2.557500020E+00,+263.750004E-03
-201.001E-06,+2.712344246E+00,+263.750004E-03
-200.001E-06,+2.557655020E+00,+257.506254E-03
-199.001E-06,+2.557500020E+00,+257.500004E-03
-198.001E-06,+2.557500020E+00,+263.743817E-03
-197.001E-06,+2.557500020E+00,+263.750004E-03
-196.001E-06,+2.712348121E+00,+263.750004E-03
-195.001E-06,+2.712500021E+00,+263.750004E-03
-194.001E-06,+2.557650370E+00,+263.750004E-03
-193.001E-06,+2.712350446E+00,+263.750004E-03
-192.001E-06,+2.557648820E+00,+263.750004E-03
-191.001E-06,+2.712351996E+00,+257.505973E-03
-190.001E-06,+2.557647270E+00,+263.744067E-03
-189.001E-06,+2.557500020E+00,+257.505910E-03
-188.001E-06,+2.402645718E+00,+263.744129E-03
-187.001E-06,+2.712210171E+00,+257.505848E-03
-186.001E-06,+2.557644170E+00,+263.744192E-03
-185.001E-06,+2.557500020E+00,+257.505785E-03
-184.001E-06,+2.557500020E+00,+257.500004E-03
-183.001E-06,+2.557500020E+00,+263.744285E-03
-182.001E-06,+2.557500020E+00,+263.750004E-03
-181.001E-06,+2.557500020E+00,+263.750004E-03
-180.001E-06,+2.557500020E+00,+263.750004E-03
-179.001E-06,+2.712361296E+00,+263.750004E-03
-178.001E-06,+2.712500021E+00,+263.750004E-03
-177.001E-06,+2.557637195E+00,+263.750004E-03
-176.001E-06,+2.557500020E+00,+257.505504E-03
-175.001E-06,+2.712364396E+00,+263.744535E-03
-174.001E-06,+2.557634870E+00,+263.750004E-03
-173.001E-06,+2.557500020E+00,+257.505410E-03
-172.001E-06,+2.557500020E+00,+263.744629E-03
-171.001E-06,+2.402632543E+00,+263.750004E-03
-170.001E-06,+2.557368270E+00,+257.505317E-03
